제목,내용
"LCK V10 신화 쓴 T1, ‘페이커’ 포함 선수진 4명 확진","제외한 T1 선수진 4인이 코로나 19에 확진됐다 (사진제공: LCK) 스프링 시즌을 전승우승으로 장식하며, 리그 오브 레전드 챔피언스 코리아(이하 LCK) 통산 10번째 우승으로 새로운 역사를 써 내려가고 있는 T1이 시즌 종료와..."
"[LCK 스프링 결승]③T1, 탑 라인 집중공격…'매치포인트' 지름길로",T1이 팽팽했던 분위기를 뒤집으며 승기를 뺴앗았다. 라인전에서 우위를 잡은 기세를 바탕으로 끊임없이... 2일 열린 '2022 LCK 스프링 결승전' 3세트에서 T1은 블루 진영을 선택하며 위치 변화에 나섰다. T1은 '제우스' 최우제...
"[WCK 톡톡] T1 ‘코어’ 정용훈, “마지막 리브 샌박전, 총력전 펼치겠다”", T1이 최하위 크레센트를 힘들게 제압하면서 연패 탈출과 함께 4위 경쟁의 불씨를 살렸다. T1의 미드 라이너 ‘코어’ 정용훈은 “마지막 리브 샌드박스전 총력 기울이겠다”며 다부진 각오를 드러냈다. T1은 4일 오후...
"‘V10’ T1, ‘완전체’ 젠지 꺾고 LCK 전승 우승 ‘금자탑’","2일 킨텍스서 2년 6개월만의 유관중 오프라인 결승전 T1, 3대1로 젠지 제압하고 사상 첫 LCK 10회 ‘우승’ T1이 리그오브레전드(LoL) 한국 e스포츠 LCK(LoL 챔피언스 코리아) 역사를 새로 썼다. 리그제 전환 이후 첫 전승 우승..."
"‘전승 우승’ T1, ‘구마유시’ 제외 전원 코로나 양성 [LCK]","스프링 우승을 차지한 T1 선수단. 왼쪽부터 최성훈 감독, 최우제, 문현준, 이상혁, 이민형, 류민석.   사진=임형택 기자 전승 우승이라는 대기록을 써낸 ‘LoL 챔피언스 코리아(LCK)’ T1 선수단이 대거 코로나 바이러스..."
[포토] 우승 차지한 T1 '우리가 최고',"T1과 젠지 e스포츠가 대결하는 이날 경기에서 승리한 T1은 LCK 우승 트로피를 차지했고, 오는 5월 부산에서 열릴 국제대회인 리그 오브 레전드 미드 시즌 인비테이셔널 진출 자격을 얻었다. T1이 무대 세레모니..."
봄의 제왕 노리는 T1과 젠지,"내달 2일 KINTEX에서 관객들과 함께 하는 2022 LCK 스프링 결승전에 출전하는 T1과 젠지가 ""많은 팬들 앞에서... 출전하는 T1과 젠지의 감독과 주전 5명의 출사표를 듣는 미디어데이 행사를 가졌다. 몇 대 몇으로 이길..."
"[현장+]T1·젠지 한 목소리 ""스프링 결승? 퍼펙트 스코어 자신해""","""1세트만 잡아내면 3대0으로 완승할 수 있다"" '리그 오브 레전드 챔피언스코리아'(LCK) 결승전에 오른 'T1'과... 미디어데이에서는 T1과 젠지의 감독 및 선수들이 참여해 취재진과 질의응답(Q&A)를 이어갔다. 이날의..."
"[LCK 스프링 결승]④최다우승팀 T1, 젠지 꺾고 V10 달성",'2022 LCK 스프링 결승전'에서 젠지를 상대로 2승을 거둔 T1의 기세는 꺾일줄 몰랐다. 4세트 초반부터 거침없이 몰아친 T1은 끊임없이 젠지를 압박한 끝에 세트스코어 3대1로 10번째 우승을 달성했다. 2일 킨텍스에서...
[쿡Pick] #T1#젠지#결승전#탑#V10#첫우승,라이엇게임즈 T1과 젠지 e스포츠가 2일 오후 5시 ‘2022 LoL 챔피언스 코리아(이하 LCK)’ 스프링 스플릿 플레이오프(PO) 결승전에서 맞붙는다. 전통의 라이벌 T1과 젠지는 2020 LCK 스프링 스플릿 결승 이후 2년 만에 정상에서...
"[사진] T1, 'V10, 너무 기뻐요'",2022시즌 봄의 제왕은 T1이었다. 팀의 전신인 SK텔레콤부터 시작된 ‘LOL 챔피언스 코리아(이하 LCK)’ 통산 우승 횟수를 10번째로 늘리면서 LCK 첫 팀 ‘V10’ 달성이라는 대기록을 수립했다. T1은 2일 오후 경기도...
"[LCK 스프링 결승]①'구마유시' 쿼드라킬, T1이 먼저 웃었다","T1이 한타 싸움에서 젠지를 누르며 '2022 LCK 스프링' 결승전에서 먼저 웃었다. 양팀은 밴픽에서부터... 이에 맞선 레드 진영의 T1은 '제우스' 최우제, '오너' 문현준, '페이커' 이상혁, '구마유시' 이민형, '케리아' 류민석이..."
"[Oh!쎈 롤챔스] 대기록의 주인공 T1, 사상 첫 LCK 'V10' 달성하나",2022 LCK 스프링은 대기록의 향연이었고 주인공은 항상 T1이었다. T1의 전신인 SK텔레콤 T1 시절인 2015년 LCK 서머에서 개막 이후 14연승을 이어갔고 정규 리그를 17승 1패로 마무리했던 기록은 2022년 T1에 의해...
