영화명,평점,리뷰
더 프레데터,10,외계인 영화중에 최고 입니다. 액션이 끝내주네요.그런데 프레데터는 조연.액스트라는 원샷 원킬로 죽이는데 주인공은 그냥 던지기만 하네요.
투모로우랜드,4,너무 유치하고 어린이용이라 그런지 망한 이유를 알겠네
모비우스,8,마블+액션+박쥐
여고괴담 여섯번째 이야기 : 모교,6,토요일밤에잘봐습니다김현수동생좋아합니다
나의 집은 어디인가,10,
데드 돈 다이,9,잠잠하면서도 긴장감 있고 아기자기한 연출이 정말 재밌게 만든다..굿.
완벽한 타인,10,이 영화처럼 완벽한 사람은 없다허나 일부러 남에게 피해를 주지 않으려는 사람은 있다
노바디 ,10,액션이 고퀄이다 통쾌함
사생결단,6,부당거래에 독전을 추가로 넣다.
이스케이프 플랜 2: 하데스,1,짱깨묻으면 영화가 이렇게 되냐..와ㅋㅋㅋㅋ
사랑을 놓치다,8,"한국만이 가진 이야기. 좋은 한국영화. 이러한 작품들이 많았으면 좋겠다. 연출도, 배우도, 음악도 모두 모두 참 좋다. 부럽다."
모비우스,4,모자 벗고 마스크 벗고 의자위에 두 다리 쭉 피면서 재미있게는 보지 못했네..
문폴,8,시원시원하고 스케일 크고 시간보내기용으로는 최고 역시 롤랜드감독
뜨거운 피,10,평범한 건달영화가 아니다. 제목 그대로다.
더 배트맨,10,"자동차 추격씬은 전설로 남을 정도의 수준이고엔진 블록이랑 피스톤, 크랭크 샤프트 보여줄때 이거 찐이구나 이렇게 느꼈음. 기계미. 딱 이 한마디로 표현 할 수 있음. 마블영화 보면서 울렁이던 속을 이 담백하고 예술적인 영화가 진정시켜줬음. 배트카 역대급이다."
노바디 ,10,세상에! 미친 개간지! 영화 내내 자비로운 미소를 띄우며 보게된다. 원샷쓰리킬 트랩씬에서 기립박수쳤다. 와 와 미친 간지. 초반이 약간 루즈하지만 그것이 롤러코스터 초반 상승곡선이었음. 곧 미친듯이 내달린다. 어우 시원해. 어우!!!
모비우스,4,히어로도 아니고 빌런도 아니고 도대체 너의 정체는 뭐냐
뜨거운 피,10,스토리 전개 억지스럽지 않고 배우들 연기 좋고 긴장감 팽팽하면서 존잼임눈만 높아져서 지들이 평론가마냥 억까하는거 극혐임 강추한다 보세요!
벨파스트,8,어린 시절 생각도 나고 버디에게 감정이입도 잘되서 재미있게 봤어요
레벤느망,6,남자라 그런지 공감이 안가는 점들이 좀 있었네요
메리 미,7,오랜만에 보는 로코라 기분 좋게 봤어요
성난 변호사,1,"연출, 씹선균 걍 다 병 신! AO 18!!!"
인간중독,10,
레드 로켓,7,전작인 플로리다 프로젝트랑 많이 비슷한듯 하면서 정 반대인 점도 있고 해서 좋았다
협상,2,협상x 영통 같은 티키타카 10% +내부자들50%+ 국정농단청문회 10% + 현빈손예진 얼굴보기 30%
나의 집은 어디인가,8,세상엔 참 힘들고 일어나선 안되는 일이 일어나고 있는데 내가 몰랐던걸 알게 해줘서 좋았음
모비우스,3,너무 재미 없고 뻔하고 아휴 시간만 아까움
모비우스,4,흔한 느낌. CG좀 불편하고 편집 이상하고 악역 매력이 너무 없음. 킬링타임용 영화. 비추
더 배트맨,7,"팀버튼부터 놀란감독의 배트맨까지 배트맨은 다 챙겨봤는데, 패터슨이 생각보다는 배트맨 슈트에 잘 어울리네요. 연기도 어색하지 않고,,,하지만, 개인적으로는 액션 및 스토리, 연기가 다크나이트 워낙 재미있게 봐서 그런지 다크나이트 조커를 능가하지는 못한다는 느낌이네요... 아마 감독도 염두에 둔 건지 또 다른 배트맨의 이야기를 그려 나가는데 크게 어색하지는 않고 나름 진지한 이야기를 잘 풀어나가는 듯 하네요.  서두 얘기를 하는 것 같고, 마지막 조커가 언듯 나오면서 이 다음 이야기가 진검 승부를 걸듯 하네요."
